sortie,e1,e2
0,191.,131.
0,185,134
0,200,137
0,173,127
0,171,118
0,160,118
0,188,134
0,186,129
0,174,131
0,163,115
0,190,143
0,174,131
0,201,130
0,190,133
0,182,130
0,184,131
0,177,127
0,178,126
0,210,140
0,182,121
0,186,136
0,158,141
0,146,119
0,151,130
0,122,113
0,138,121
0,132,115
0,131,127
0,135,123
0,125,119
0,130,120
0,130,131
0,138,127
0,130,116
0,143,123
0,154,135
0,147,132
0,141,131
0,131,116
0,144,121
0,137,146
0,143,119
0,135,127
1,186,107
1,211,122
1,201,114
1,242,131
1,184,108
1,211,118
1,217,122
1,223,127
1,208,125
1,199,124
1,211,129
1,218,126
1,203,122
1,192,116
1,195,123
1,211,122
1,187,123
1,192,109
1,223,124
1,188,114
1,216,120
1,185,114
1,178,119
1,187,111
1,187,112
1,201,130
1,187,120
1,210,119
1,196,114
1,195,110
1,187,124
