cz	da	de	en	es	et	fi	fr	ga	hu	it	lt	lv	mt	nl	pl	pt	sk	sl
A	2513	2090	1287	1512	3716	3415	5018	1497	6003	4281	3252	3236	4426	3428	2110	3271	4126	3159	2655
B	448	415	379	271	408	200	18	173	612	481	293	453	869	477	584	364	342	457	406
C	905	106	668	825	2086	9	11	777	1665	276	1206	354	388	181	557	1426	1804	916	714
D	877	1611	1254	722	1898	1168	335	946	1025	477	1392	680	818	1061	2055	1032	1957	925	1013
E	2233	5100	4300	2501	4049	2723	2502	3694	2111	3952	3798	2071	2156	1735	6566	2373	3660	2230	2497
F	38	842	422	518	196	22	6	175	352	171	213	53	47	360	443	52	183	36	25
G	46	1293	849	365	250	725	53	181	940	1118	466	559	272	681	1208	372	363	59	324
H	636	441	1024	951	207	547	403	78	2507	380	201	33	41	607	894	334	128	666	272
I	2285	2421	1991	1973	3094	3394	3629	1969	4027	1885	4613	4723	4112	4577	2839	2877	2939	2003	2711
J	397	112	58	27	106	481	817	42	0	366	0	663	547	1485	372	784	65	415	1056
K	990	999	244	43	1	1368	1626	0	1	1801	1	1069	1050	950	721	1161	1	1076	922
L	1037	1767	718	793	2008	1558	1788	1199	1360	2111	2558	965	973	2306	1274	1073	923	1114	1189
M	649	819	416	411	517	616	737	430	687	853	503	888	826	725	500	510	799	677	459
N	1996	2348	2465	1648	2348	1128	2624	1741	2732	1691	2219	1641	1516	1914	3616	2082	1418	1983	2037
O	2438	1828	562	1639	3224	1859	1993	1374	1833	2344	3142	1796	1101	1738	1661	2801	3564	2747	2607
P	1091	495	164	473	916	458	571	626	276	253	906	817	1014	784	545	1129	915	1062	993
Q	1	0	2	16	111	1	1	145	2	0	46	1	1	94	1	0	143	1	0
R	1272	2813	1849	1360	2140	944	737	1408	2038	1151	2025	1766	1527	1857	2167	1641	2025	1344	1332
S	1478	1722	1351	1164	2217	2198	2867	1612	1549	2168	1376	3353	2633	960	1021	1546	2420	1472	1422
T	1371	2189	1567	2021	1610	2221	2965	1988	1847	2171	2399	1974	1847	3059	2167	1337	1669	1439	1088
U	1091	548	1247	501	1168	1823	1806	1046	1279	580	898	1617	1606	1381	559	1017	1079	1211	715
V	1259	568	218	220	271	566	628	206	47	593	380	511	742	190	1081	31	342	1328	1495
W	0	1	241	187	0	0	0	0	1	0	0	0	0	420	312	1546	0	0	0
X	4	2	3	38	42	2	2	94	1	4	1	1	1	154	4	1	57	15	2
Y	663	128	2	291	308	0	547	39	2	755	0	390	0	0	5	1150	0	768	0
Z	661	0	301	14	55	0	0	1	0	1719	611	176	464	1151	230	1566	42	652	667
