TOTBILL,TIP,SEX,SMOKER,DAY,TIME,SIZE,enough
16.99,1.01,F,no,sun,dinner,2,non
10.34,1.66,M,no,sun,dinner,3,oui
21.01,3.5,M,no,sun,dinner,3,oui
23.68,3.31,M,no,sun,dinner,2,non
24.59,3.61,F,no,sun,dinner,4,non
25.29,4.71,M,no,sun,dinner,4,oui
8.77,2.0,M,no,sun,dinner,2,oui
26.88,3.12,M,no,sun,dinner,4,non
15.04,1.96,M,no,sun,dinner,2,non
14.78,3.23,M,no,sun,dinner,2,oui
10.27,1.71,M,no,sun,dinner,2,oui
35.26,5.0,F,no,sun,dinner,4,non
15.42,1.57,M,no,sun,dinner,2,non
18.43,3.0,M,no,sun,dinner,4,oui
14.83,3.02,F,no,sun,dinner,2,oui
21.58,3.92,M,no,sun,dinner,2,oui
10.33,1.67,F,no,sun,dinner,3,oui
16.29,3.71,M,no,sun,dinner,3,oui
16.97,3.5,F,no,sun,dinner,3,oui
20.65,3.35,M,no,sat,dinner,3,oui
17.92,4.08,M,no,sat,dinner,2,oui
20.29,2.75,F,no,sat,dinner,2,non
15.77,2.23,F,no,sat,dinner,2,non
39.42,7.58,M,no,sat,dinner,4,oui
19.82,3.18,M,no,sat,dinner,2,oui
17.81,2.34,M,no,sat,dinner,4,non
13.37,2.0,M,no,sat,dinner,2,non
12.69,2.0,M,no,sat,dinner,2,oui
21.7,4.3,M,no,sat,dinner,2,oui
19.65,3.0,F,no,sat,dinner,2,oui
9.55,1.45,M,no,sat,dinner,2,oui
18.35,2.5,M,no,sat,dinner,4,non
15.06,3.0,F,no,sat,dinner,2,oui
20.69,2.45,F,no,sat,dinner,4,non
17.78,3.27,M,no,sat,dinner,2,oui
24.06,3.6,M,no,sat,dinner,3,non
16.31,2.0,M,no,sat,dinner,3,non
16.93,3.07,F,no,sat,dinner,3,oui
18.69,2.31,M,no,sat,dinner,3,non
31.27,5.0,M,no,sat,dinner,3,oui
16.04,2.24,M,no,sat,dinner,3,non
17.46,2.54,M,no,sun,dinner,2,non
13.94,3.06,M,no,sun,dinner,2,oui
9.68,1.32,M,no,sun,dinner,2,non
30.4,5.6,M,no,sun,dinner,4,oui
18.29,3.0,M,no,sun,dinner,2,oui
22.23,5.0,M,no,sun,dinner,2,oui
32.4,6.0,M,no,sun,dinner,4,oui
28.55,2.05,M,no,sun,dinner,3,non
18.04,3.0,M,no,sun,dinner,2,oui
12.54,2.5,M,no,sun,dinner,2,oui
10.29,2.6,F,no,sun,dinner,2,oui
34.81,5.2,F,no,sun,dinner,4,non
9.94,1.56,M,no,sun,dinner,2,oui
25.56,4.34,M,no,sun,dinner,4,oui
19.49,3.51,M,no,sun,dinner,2,oui
38.01,3.0,M,yes,sat,dinner,4,non
26.41,1.5,F,no,sat,dinner,2,non
11.24,1.76,M,yes,sat,dinner,2,oui
48.27,6.73,M,no,sat,dinner,4,non
20.29,3.21,M,yes,sat,dinner,2,oui
13.81,2.0,M,yes,sat,dinner,2,non
11.02,1.98,M,yes,sat,dinner,2,oui
18.29,3.76,M,yes,sat,dinner,4,oui
17.59,2.64,M,no,sat,dinner,3,oui
20.08,3.15,M,no,sat,dinner,3,oui
16.45,2.47,F,no,sat,dinner,2,oui
3.07,1.0,F,yes,sat,dinner,1,oui
20.23,2.01,M,no,sat,dinner,2,non
15.01,2.09,M,yes,sat,dinner,2,non
12.02,1.97,M,no,sat,dinner,2,oui
17.07,3.0,F,no,sat,dinner,3,oui
26.86,3.14,F,yes,sat,dinner,2,non
