volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude,country,duration
266030,Soputan,22354,Confirmed Eruption,NA,NA,2020.0,3.0,23.0,Historical Observations,2020.0,4.0,2.0,1.112,124.737,Indonesia,10 days
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,NA,NA,2020.0,2.0,10.0,Historical Observations,2020.0,4.0,6.0,-21.244,55.708,France,56 days
345020,Rincon de la Vieja,22346,Confirmed Eruption,NA,NA,2020.0,1.0,31.0,Historical Observations,2020.0,4.0,17.0,10.83,-85.324,Costa Rica,77 days
273070,Taal,22344,Confirmed Eruption,NA,NA,2020.0,1.0,12.0,Historical Observations,2020.0,1.0,22.0,14.002,120.993,Philippines,10 days
282050,Kuchinoerabujima,22345,Confirmed Eruption,NA,NA,2020.0,1.0,11.0,Historical Observations,2020.0,4.0,17.0,30.443,130.217,Japan,97 days
241040,Whakaari/White Island,22338,Confirmed Eruption,1978/90 Crater Complex,2.0,2019.0,12.0,9.0,Historical Observations,2019.0,12.0,9.0,-37.52,177.18,New Zealand,0 days
311060,Semisopochnoi,22341,Confirmed Eruption,NA,NA,2019.0,12.0,7.0,Historical Observations,2020.0,3.0,15.0,51.93,179.58,United States,99 days
282060,Kikai,22339,Confirmed Eruption,NA,NA,2019.0,11.0,2.0,Historical Observations,2020.0,4.0,16.0,30.793,130.305,Japan,166 days
300260,Klyuchevskoy,22335,Confirmed Eruption,NA,NA,2019.0,10.0,24.0,Historical Observations,2020.0,4.0,17.0,56.056,160.642,Russia,176 days
283110,Asamayama,22326,Confirmed Eruption,NA,NA,2019.0,8.0,7.0,Historical Observations,2019.0,8.0,25.0,36.406,138.523,Japan,18 days
357090,Copahue,22336,Confirmed Eruption,NA,NA,2019.0,8.0,2.0,Historical Observations,2019.0,11.0,12.0,-37.856,-71.183,Chile-Argentina,102 days
263090,Tangkuban Parahu,22325,Confirmed Eruption,NA,NA,2019.0,7.0,26.0,Historical Observations,2019.0,9.0,17.0,-6.77,107.6,Indonesia,53 days
311360,Shishaldin,22330,Confirmed Eruption,Summit crater,NA,2019.0,7.0,23.0,Historical Observations,2020.0,4.0,9.0,54.756,-163.97,United States,261 days
351020,"Ruiz, Nevado del",22329,Confirmed Eruption,NA,NA,2019.0,7.0,23.0,Historical Observations,2020.0,4.0,13.0,4.892,-75.324,Colombia,265 days
311060,Semisopochnoi,22328,Confirmed Eruption,NA,NA,2019.0,7.0,16.0,Historical Observations,2019.0,8.0,24.0,51.93,179.58,United States,39 days
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,NA,NA,2019.0,6.0,11.0,Historical Observations,2019.0,10.0,27.0,-21.244,55.708,France,138 days
290240,Sarychev Peak,22320,Confirmed Eruption,NA,2.0,2019.0,5.0,16.0,Historical Observations,2019.0,10.0,7.0,48.092,153.2,Russia,144 days
