"cz" "da" "de" "en" "es" "et" "fi" "fr" "ga" "hu" "it" "lt" "lv" "mt" "nl" "pl" "pt" "sk" "sl"
"A" 0.0952651730543235 0.0681714397547133 0.0545755237045204 0.0738137082601054 0.112790627086748 0.124516881791001 0.158376467617725 0.0698195046872814 0.182478645469192 0.135556188847725 0.100064617372842 0.108627056059080 0.152741829727025 0.106212238574748 0.063000119431506 0.103920447324946 0.133251517891745 0.113817330210773 0.09980827788429
"B" 0.0169832063383752 0.0135364342096679 0.0160715800186583 0.0132298379222808 0.0123839009287926 0.00729235032450959 0.000568110087110213 0.00806865351429504 0.0186035200778186 0.0152306766726829 0.00901566202036986 0.0152064451158107 0.0299893018600959 0.0147792408985283 0.0174369998805685 0.0115643665014614 0.0110450846143909 0.0164655017114033 0.0152625841133792
"C" 0.0343075931612267 0.00345749885837302 0.0283266898481893 0.0402753368482718 0.0633157287682875 0.000328155764602932 0.000347178386567353 0.0362389813907933 0.0506125178587713 0.0087394319369241 0.0371088341179729 0.0118831822759315 0.0133899299444387 0.00560805577072037 0.0166308372148573 0.0453043588766044 0.0582612065624596 0.0330030625112592 0.026841096199391
"D" 0.0332461427650783 0.0525474590645182 0.0531761513018404 0.0352470220660027 0.0576094214775694 0.042587325895136 0.0105731599545512 0.0441210764423301 0.0311578563394838 0.0151040182388145 0.0428320871411428 0.0228264518294730 0.0282292852952342 0.0328737412858249 0.0613579362235758 0.0327868852459016 0.0632024286267924 0.0333273284092956 0.0380812751400323
"E" 0.084650669092839 0.166351360167004 0.182342464591638 0.122095293887913 0.122898075638924 0.099285349668198 0.0789673021083197 0.172286740357259 0.0641699851050248 0.125138532662044 0.116865134311825 0.0695199731453508 0.074403837526314 0.0537567776917119 0.196046817150364 0.075390773922989 0.118201782715411 0.0803458836245722 0.0938686515544528
"F" 0.00144053982334433 0.0274642833844347 0.0178950046645747 0.0252880296817028 0.00594912887755721 0.000802158535696055 0.000189370029036738 0.00816193274567418 0.0107000638356081 0.00541464804787689 0.0065540478168559 0.00177912051023834 0.00162197604997067 0.0111541440743610 0.0132270392929655 0.00165205235735163 0.00591008913577057 0.00129706359214556 0.000939814292695763
"G" 0.00174381136510103 0.0421749624893992 0.0360020354507675 0.0178187853934778 0.00758817458872094 0.0264347699263473 0.00167276858982452 0.00844177043981158 0.0285740341064535 0.035401032266236 0.0143389027354688 0.0187646861362873 0.0093867550125962 0.0210999225406662 0.0360683148214499 0.0118185284025925 0.0117232915643974 0.00212574310934967 0.0121799932333371
"H" 0.0241100875696577 0.0143844999673821 0.0434229497074040 0.0464264792032806 0.00628300855946094 0.0199445781375337 0.0127193536169676 0.00363789002378620 0.0762075569200839 0.0120325512175042 0.00618480568632881 0.00110775427995972 0.00141491527763399 0.0188071262587142 0.0266929415979936 0.0106112593722201 0.00413383283813461 0.0239956764546928 0.0102251795045299
"I" 0.0866219341142576 0.0789679692086894 0.0844288016283606 0.0963190783050186 0.0939112487100103 0.123751185006928 0.114537305895720 0.0918334032927569 0.122412378028392 0.0596877869605142 0.141942829010123 0.158543135280295 0.141905649308072 0.141812548412084 0.0847665114057088 0.0914029736942432 0.0949166774318563 0.0721671770852099 0.101913461899929
"J" 0.0150498502596763 0.00365320634092243 0.00245950301077093 0.00131810193321617 0.00321738602561768 0.0175381025304456 0.0257858856205025 0.00195886385896180 0 0.0115892466989646 0 0.0222557905337362 0.0188770404113607 0.046010844306739 0.0111071300609101 0.02490786631084 0.00209921198811523 0.0149522608539002 0.0396977557234690
"K" 0.0375298532923917 0.0325852958444778 0.0103468747349673 0.00209919937512205 3.03526983548837e-05 0.0498796762196456 0.0513192778689559 0 3.03979086238867e-05 0.0570279598492765 3.07701775439244e-05 0.0358845250083921 0.0362356351589191 0.029434546862897 0.0215275289621402 0.0368852459016393 3.22955690479266e-05 0.0387677895874617 0.0346603511146198
"L" 0.0393115736002123 0.057635853610803 0.0304469510643711 0.0387131419644601 0.0609482182966066 0.0568074090279297 0.0564322686529479 0.0559208992117905 0.0413411557284859 0.0668439884740825 0.0787101141573587 0.0323934206109433 0.0335783552472651 0.07144848954299 0.0380389346709662 0.0340894649891981 0.0298088102312363 0.0401369122680598 0.0446975677606105
"M" 0.0246029038250123 0.0267140713679953 0.0176405733186329 0.0200644405389572 0.0156923450494749 0.0224604389994895 0.0232609519000126 0.0200550347465137 0.0208833632246101 0.0270099110224502 0.015477399304594 0.0298086606243706 0.0285053663250164 0.0224632068164214 0.0149289382539114 0.0162028211971026 0.0258041596692934 0.0243920014411818 0.0172549904138942
"N" 0.0756662496682968 0.0765868615043382 0.104528877957764 0.0804530365163054 0.071268135737267 0.0411288558302341 0.0828178260320667 0.0811995709155357 0.0830470863604584 0.0535448529178937 0.0682790239699683 0.0550855991943605 0.0523173551437347 0.0593028659953524 0.107966081452287 0.066145634769348 0.0457951169099600 0.0714465862006846 0.0765760685688508
"O" 0.0924220023503544 0.0596255463500555 0.0238317360698838 0.0800136692052334 0.0978570994961452 0.0677823962663166 0.0629024113117031 0.0640828319574647 0.0557193665075843 0.0742218422469206 0.0966798978430106 0.0602886874790198 0.0379956517237809 0.0538497288923315 0.0495939328794936 0.0889884356334985 0.115101408086810 0.0989731579895514 0.0980038344423142
"P" 0.04135865650707 0.0161458673103268 0.00695445678907641 0.0230911931263425 0.0278030716930735 0.0166994822431270 0.0180217144299962 0.0291963994216688 0.00838982278019272 0.00801114594218042 0.0278777808547955 0.0274253105068815 0.0349932705248991 0.024291247095275 0.0162725426967634 0.0358685982971153 0.0295504456788529 0.038263375968294 0.0373294237058757
"Q" 3.79089427195876e-05 0 8.48104486472733e-05 0.000781097441905878 0.0033691495173921 3.64617516225479e-05 3.1561671506123e-05 0.00676274427498717 6.07958172477734e-05 0 0.00141542816702052 3.35683115139308e-05 3.45101287227801e-05 0.00291247095274981 2.98578765078228e-05 0 0.00461826637385351 3.60295442262655e-05 0
