"","ID","DATE","TIME","LAT","LON","VMAX","PER","ADAY","SPDX","PSLV","VPER","PC20","GSTD","POT","SHDC","T200","T250P","EPOS","RHMD","TWAT","Z850","D200","LSHDC","VSHDC","POT2","RHCN","SDIR","SHGC","POT_AVG","SHDC_AVG","T200_AVG","T250P_AVG","EPOS_AVG","RHMD_AVG","TWAT_AVG","Z850_AVG","D200_AVG","LSHDC_AVG","VSHDC_AVG","POT2_AVG","RHCN_AVG","SDIR_AVG","SHGC_AVG","RHLORI","SBTRI","PCRI30","RHCRI","RII30","RII35","RII40"
"AL011982.1","AL011982","820602",12,21.7,87.1,20,0,1e-05,5.20203,595,0,29,402,101.94656,23.05,-50.85,0,14.15,51,0.3,12,29,8.61116,461,10393.10156,0,-21.67197,0.2541,99.04332,25.74,-50.9,0,14.2,52,-1,-1.6,22.2,9.86652,514.80005,9809.5791,0,-18.49205,2.77062,63.8,NA,NA,39.8,NA,NA,NA
"AL011982.2","AL011982","820602",18,22.2,86.5,25,0,1e-05,5.20203,534,0,37,472.5,94.741,24,-50.6,0,14.9,51,-0.6,11.5,28,9.15259,600,8975.85645,0,-20.16087,-0.63664,91.67517,26.1,-50.86,0,14.2,52.6,-0.4,0.2,18.2,10.19293,652.5,8404.33691,0,-16.36433,3.5555,64.2,NA,NA,37.8,NA,NA,NA
"AL011982.3","AL011982","820603",0,22.6,85.8,30,10,2e-05,6.3891,577,300,42,555,87.97841,26.75,-50.65,0,14.65,51.5,0.1,-3,24.5,10.32369,802.5,7740.2002,0,-17.23281,2.01405,83.55442,25.44,-51.04,0,13.9,53,0,-5.2,14.4,10.09752,763.19995,6981.34131,0,-13.6564,5.25552,65.2,NA,NA,36.4,NA,NA,NA
"AL011982.4","AL011982","820603",6,22.8,85,40,15,2e-05,7.36404,547,600,53,684,76.16762,28.15,-51.05,0,13.85,53.5,-0.8,-18,11.5,11.00157,1126,5801.50586,0,-15.22833,7.52848,71.60471,24.66,-51.26,0,13.66,52,-1.1,-10.6,11.2,9.96163,986.40002,5127.23486,0,-11.15322,8.26177,64.6,NA,NA,33.8,NA,NA,NA
"AL011982.5","AL011982","820603",12,23.2,84.2,50,20,2e-05,7.41748,549,1000,61,805,63.46259,27.6,-51.25,0,13.45,54.5,0.9,-6,8,11.04023,1380,4027.50073,0,-12.84697,6.75827,58.98808,23.4,-51.66,0,13.7,50.2,0.1,-18.8,5.6,9.61416,1170,3479.59302,0,-8.31303,9.92314,64,NA,NA,30.8,NA,NA,NA
"AL011982.6","AL011982","820603",18,24,83.6,75,35,2e-05,6.5822,589,2625,85,930.00006,33.22432,22.4,-51.2,0,13.4,53.5,-0.2,3,9.5,9.22837,1680.00012,1103.85535,0,-9.58285,6.4109,32.03184,21.4,-51.72,0,14.06,47.4,-0.8,-17,7.6,8.93493,1605.00012,1026.03857,0,-5.43639,9.92514,62,NA,NA,26.4,NA,NA,NA
"AL011982.7","AL011982","820604",0,24.8,83.4,65,15,2e-05,3.8036,699,975,78,864.5,42.06487,20.4,-51.6,0,13.55,49.5,-1,-15.5,10.5,8.57435,1326.00012,1769.45288,0,-7.20435,11.07902,40.11361,18.68,-51.98,0,14.42,44.8,-1.2,-22.6,4.2,7.87298,1214.20007,1609.10168,0,-3.57649,11.25072,61.2,NA,NA,23.8,NA,NA,NA
"AL011982.8","AL011982","820604",6,24.9,84.1,55,-20,2e-05,-2.26992,766,-1100,57,869,51.56256,21.65,-52.2,0,14.15,44.5,0.4,-37,2.5,9.11528,1190.75012,2658.69775,0,-3.94563,13.63309,49.51614,18.18,-52.14,0,14.78,41.6,-0.7,-24.6,2.8,7.68351,999.90002,2451.84766,0,-2.339,12.47885,60,NA,NA,24,NA,NA,NA
"AL011982.9","AL011982","820604",12,24.9,84.8,45,-20,2e-05,-5.98538,822,-900,48,774.00006,59.73543,19.95,-52.2,0,14.85,42,0,-34,2.5,8.41449,897.75006,3568.32129,0,-0.865,11.68941,58.05052,17.36,-52.54,0,14.96,39.2,-1.5,-25.4,-6.4,7.36128,781.20001,3369.86304,0,-1.16076,12.99955,59.8,NA,NA,22.6,NA,NA,NA
"AL011982.10","AL011982","820604",18,25,84.2,40,-15,2e-05,-0.66912,735,-600,42,700,63.77641,15.8,-52.05,0,15.25,41,-0.6,-15.5,4.5,6.6873,632,4067.43091,0,-0.93438,10.07724,62.67081,15.74,-52.58,0,15.46,36.4,-1.5,-17.6,-10.6,6.69959,629.60004,3927.6311,0,-1.09178,12.91709,58,NA,NA,19.4,NA,NA,NA
