"V1" "V2"
"1" -1.254424 3.297064
"2" 7.837204 6.366821
"3" 3.045335 4.95294
"4" 2.66036 4.980454
"5" 0.057023 0.147514
"6" -1.648278 -3.33399
"7" 0.656548 0.692659
"8" -0.319016 0.003544
"9" 2.767721 5.067814
"10" 0.30625 -0.183794
"11" 0.817883 -0.11209
"12" 0.032308 0.023372
"13" 6.477585 7.095666
"14" 6.896761 5.869651
"15" -0.522947 0.710806
"16" 6.981945 5.886914
"17" 6.810662 5.242469
"18" 0.591385 0.896557
"19" -0.037265 -0.167029
"20" 4.035347 4.548497
"21" -0.555407 -3.311551
"22" -0.187683 -0.152155
"23" 6.508883 6.251478
"24" -1.023165 3.399491
"25" 0.514903 -0.019534
"26" -0.993075 3.375682
"27" -1.389395 -3.578524
"28" -0.831755 2.9602
"29" -0.61384 2.754661
"30" 7.209056 6.762478
"31" -1.542122 -2.366302
"32" 6.583508 6.38698
"33" 2.086647 5.005626
"34" 7.198883 7.669215
"35" -0.68821 -2.863879
"36" 0.333737 -0.525084
"37" 3.122049 4.323008
"38" -0.30695 -1.0809
"39" -0.907617 -3.257889
"40" 0.092196 -0.197458
"41" 3.697301 5.477696
"42" -0.42213 -2.061284
"43" -0.301287 3.124703
"44" 7.285529 5.764546
"45" -0.868326 3.00212
"46" 8.074852 5.814458
"47" -0.898908 -3.661424
"48" -0.694332 -0.191234
"49" -1.18319 -2.837401
"50" -0.071886 0.090429
"51" -1.472709 -3.454614
"52" 6.639447 6.863391
"53" -0.987884 -2.406537
"54" -1.500721 -2.857007
"55" -1.532954 -3.050017
"56" -0.602853 2.802157
"57" 6.772265 5.844095
"58" -0.903483 -3.227557
"59" 2.543761 4.790585
"60" 7.252405 7.413182
"61" 7.627511 6.620255
"62" -0.117161 3.75684
"63" -0.528182 -0.669551
"64" -1.480596 -3.009489
"65" 6.792883 6.440291
"66" -0.652745 -3.336862
"67" -0.378861 0.155624
"68" -0.318396 -3.680225
"69" 0.424766 0.500779
"70" 0.305236 0.160751
"71" 0.20625 -0.541464
"72" -0.906993 -2.503993
"73" -0.431285 -2.693731
"74" -1.170275 -3.478511
"75" -1.105598 -2.567656
"76" 7.025015 6.199273
"77" -2.029482 -2.681475
"78" 2.740671 4.291319
"79" 3.535116 4.994787
"80" 0.623101 -0.105916
"81" -1.64289 3.66381
"82" 0.026065 -2.559419
"83" -1.237696 3.260525
"84" 3.033037 5.272898
"85" -0.587698 2.00471
"86" -0.73546 0.326663
"87" 2.98758 4.935457
"88" 2.632394 5.37629
"89" 2.690837 4.850398
"90" -0.482465 -3.331393
"91" 3.48766 4.620745
"92" 6.854402 6.149086
"93" 2.907751 4.636099
"94" 3.835551 4.269598
"95" -1.137919 -2.814191
"96" -1.061302 -4.253233
"97" -1.257324 3.555175
"98" -1.053794 3.074662
"99" 6.643427 5.634385
"100" -0.929261 3.228759
"101" 3.150192 5.151069
"102" -2.343183 2.382094
"103" -0.832631 -3.18211
"104" -0.1786 -0.330921
"105" -0.484035 -2.984403
"106" 3.193955 4.793949
"107" 3.501245 5.457665
"108" 2.571041 5.58299
"109" 1.136184 -0.263058
"110" 6.807103 5.812311
"111" -0.589778 3.477553
"112" 7.086859 5.726595
