"a" "b" "c" "d" "e" "f" "g" "h"
"1" -0.01254424 0.03297064 2.02512250905856 1.96008005160838 2.03465917219874 2.02485940435436 1.98719226862304 1.98597925109789
"2" 0.07837204 0.06366821 2.98598952575121 2.96097565849777 2.97446175122168 3.03181145989802 3.02786447443068 2.95396517044865
"3" 0.03045335 0.0495294 3.99727457268164 4.00156855550595 3.97702510128729 3.98330742742401 3.99980741064064 4.02237912246492
"4" 0.0266036 0.04980454 2.01558606077451 2.0443424775498 1.98311326850671 1.95122684079688 2.03208980413619 1.97440285775810
"5" 0.00057023 0.00147514 3.01424072822556 2.97794402732980 3.00715742807370 3.01767774592154 2.99153357804753 2.97514818839263
"6" -0.01648278 -0.0333399 3.97655357264448 3.98635093125049 3.9558248634683 3.96561320032924 4.00332036656328 4.04622839030344
"7" 0.00656548 0.00692659 1.97782804558519 2.03739366177470 1.95093310200609 1.96060930695385 2.02842043654528 2.02704761677887
"8" -0.00319016 3.544e-05 2.98366390278097 3.00998249729164 2.95006979913451 2.97963466795627 3.04552328346763 3.04038550602272
"9" 0.02767721 0.05067814 4.02619362596888 3.98087192149833 4.00553522987757 3.97204240702558 3.98574416178744 3.98329613963142
"10" 0.0030625 -0.00183794 1.95594918541610 1.95016063854564 2.03363829678856 1.99054331388324 1.98773326920345 2.03839499978349
"11" 0.00817883 -0.0011209 2.96922699643765 2.95045737735927 2.99759752894752 3.02987028420903 3.03768399746623 2.95760481155012
"12" 0.00032308 0.00023372 3.9536173194414 4.00004771058448 4.03902615359984 3.96895898610819 4.00474376010243 4.02096527135
"13" 0.06477585 0.07095666 1.97066447762772 1.95148382517509 2.00000150168780 2.04106330990326 1.99934695304837 2.01827493521851
"14" 0.06896761 0.05869651 2.9815189009998 3.00742909836117 2.96849796688184 3.04702022764832 3.00811422253028 3.00862352091353
"15" -0.00522947 0.00710806 3.96134024532512 3.97816302313004 3.95724838585593 4.04441569626797 4.00170182234142 3.99827817433979
"16" 0.06981945 0.05886914 2.04020980484784 2.02853032015264 2.04069037756417 1.95422228388488 1.99364174669608 1.98614412231836
