"V1" "V2"
-3.754424 0.297064
7.837204 6.366821
8.045335 2.45294
7.66036 2.480454
0.057023 0.147514
-1.648278 -3.33399
0.656548 0.692659
-0.319016 0.003544
7.767721 2.567814
0.30625 -0.183794
0.817883 -0.11209
0.032308 0.023372
6.477585 7.095666
6.896761 5.869651
-0.522947 0.710806
6.981945 5.886914
6.810662 5.242469
0.591385 0.896557
-0.037265 -0.167029
9.035347 2.048497
-0.555407 -3.311551
-0.187683 -0.152155
6.508883 6.251478
-3.523165 0.399491
0.514903 -0.019534
-3.493075 0.375682
-1.389395 -3.578524
-3.331755 -0.0398
-3.11384 -0.245339
7.209056 6.762478
-1.542122 -2.366302
6.583508 6.38698
7.086647 2.505626
7.198883 7.669215
-0.68821 -2.863879
0.333737 -0.525084
8.122049 1.823008
-0.30695 -1.0809
-0.907617 -3.257889
0.092196 -0.197458
8.697301 2.977696
-0.42213 -2.061284
-2.801287 0.124703
7.285529 5.764546
-3.368326 0.00212
8.074852 5.814458
-0.898908 -3.661424
-0.694332 -0.191234
-1.18319 -2.837401
-0.071886 0.090429
-1.472709 -3.454614
6.639447 6.863391
-0.987884 -2.406537
-1.500721 -2.857007
-1.532954 -3.050017
-3.102853 -0.197843
6.772265 5.844095
-0.903483 -3.227557
7.543761 2.290585
7.252405 7.413182
7.627511 6.620255
-2.617161 0.75684
-0.528182 -0.669551
-1.480596 -3.009489
6.792883 6.440291
-0.652745 -3.336862
-0.378861 0.155624
-0.318396 -3.680225
0.424766 0.500779
0.305236 0.160751
0.20625 -0.541464
-0.906993 -2.503993
-0.431285 -2.693731
-1.170275 -3.478511
-1.105598 -2.567656
7.025015 6.199273
-2.029482 -2.681475
7.740671 1.791319
8.535116 2.494787
0.623101 -0.105916
-4.14289 0.66381
0.026065 -2.559419
-3.737696 0.260525
8.033037 2.772898
-3.087698 -0.99529
-0.73546 0.326663
7.98758 2.435457
7.632394 2.87629
7.690837 2.350398
-0.482465 -3.331393
8.48766 2.120745
6.854402 6.149086
7.907751 2.136099
8.835551 1.769598
-1.137919 -2.814191
-1.061302 -4.253233
-3.757324 0.555175
-3.553794 0.074662
6.643427 5.634385
-3.429261 0.228759
8.150192 2.651069
-4.843183 -0.617906
-0.832631 -3.18211
-0.1786 -0.330921
-0.484035 -2.984403
8.193955 2.293949
8.501245 2.957665
7.571041 3.08299
1.136184 -0.263058
6.807103 5.812311
-3.089778 0.477553
7.086859 5.726595
-3.667419 0.095
6.431719 6.200388
-1.032762 0.325652
7.940735 2.092149
7.682248 2.498976
0.269149 0.275056
7.113893 5.538713
-3.33562 0.525064
6.813656 6.586557
7.823412 6.189201
-3.190465 -0.146124
0.408584 -0.231867
-3.280939 0.182544
-1.511504 -3.469727
0.655369 -0.466617
-1.754266 -2.662079
0.431142 0.454569
-0.303181 -3.276041
7.381147 5.86123
-3.442824 0.107983
8.128424 2.522934
-0.909997 -2.653998
-3.041123 1.063747
-1.452945 -3.503052
7.611719 6.406224
8.280682 2.520044
7.420559 6.156065
8.174907 2.693897
0.002443 0.009825
-3.559165 0.054234
0.703619 -0.364481
-0.776154 0.016308
5.464239 5.743995
-0.50352 0.105449
-0.154202 0.440977
-0.904654 -3.290262
-1.707606 -3.565561
-0.565946 -0.630373
-1.039992 -3.556781
-0.455665 -2.722439
-0.512828 -2.627868
-0.115627 0.341371
-4.60911 -1.348712
-2.831801 -0.00634
-0.587957 -0.718898
6.924571 6.121039
6.938723 5.914204
-3.883799 -0.03834
7.506381 5.713584
-3.711652 -0.449037
-3.078946 -0.43756
7.107455 6.822114
-3.334867 0.572472
0.370178 0.286521
-0.805278 -3.731847
-1.139382 -1.894073
-0.427522 -0.056733
-2.170492 -2.831649
7.851834 2.820329
-0.024301 -0.833804
-0.492047 -3.861725
-0.931727 -3.162604
-3.974297 -0.139049
6.643841 6.763334
0.334021 0.381486
-0.026825 0.408292
-3.386857 -0.348559
-0.806579 -3.236633
0.541674 -1.147272
-3.234229 0.544034
-1.206692 -3.517602
7.132349 5.494577
-0.500812 0.855304
-0.309475 -0.459794
0.645263 0.904914
-2.978282 -0.914548
7.194014 2.93574
7.440612 5.65415
-0.723874 -2.884822
6.5322 6.188972
0.732015 -0.242045
6.594237 7.24193
8.165807 2.765975
6.497682 5.082553
-1.263454 -3.178144
1.218164 -0.394659
-1.252405 -4.044281
7.366219 5.724766
6.386383 6.258808
6.395827 6.30967
0.160589 -0.073385
7.477632 5.977015
7.032925 5.410155
-1.389212 -3.376021
6.91116 6.226055
7.433903 2.780729
-0.226117 0.736954
-0.53514 -2.812322
-1.001827 0.648792
8.386506 1.854471
-1.456987 0.33625
7.105395 5.500774
-3.868795 0.442899
-1.062811 -2.824286
7.26347 6.490536
7.953013 2.293612
7.441739 5.989637
-0.658108 -2.621721
0.009077 -0.034213
-0.062891 -0.289851
7.999811 3.259707
8.974776 2.765884
8.320876 2.488779
7.501754 2.741129
-3.749286 0.237799
0.517759 0.914475
-3.377131 -0.267919
7.198207 6.071562
7.729428 2.796633
7.923801 5.955712
7.474794 5.878574
-0.518463 -0.358871
-3.996684 -0.674066
7.515309 2.353479
7.955272 2.538766
0.083715 0.325193
7.233785 5.790561
-3.40828 0.570962
-3.381915 0.563142
-4.042111 -0.044248
8.324533 2.950381
6.992241 5.839022
8.507665 1.79755
-0.30615 0.043404
7.768401 5.297889
-2.395781 -0.348792
0.281439 -0.152079
-0.758799 -3.014781
-1.126136 -3.132662
-0.550282 -0.10998
8.153999 1.879348
-4.144543 -0.146714
8.336939 2.653286
-3.169775 0.700515
0.35304 -0.011063
6.905883 1.397875
-0.522065 -0.705839
-0.248382 0.396837
-3.154209 0.837816
6.600043 6.139826
-0.463918 -0.077371
6.89486 6.033554
6.99507 6.683496
-0.999463 -3.918657
-0.23186 -3.21762
-0.4125 -2.9681
-0.577026 -3.314938
7.648153 5.955037
7.785092 6.825385
-0.872082 -3.095249
-3.725913 -0.468343
7.371276 6.042876
-0.389638 0.802047
7.098255 5.415184
0.261345 0.585817
7.402519 5.762496
-1.38026 -1.884064
-0.235121 -1.153758
-0.873609 -3.018021
6.927851 6.462081
7.212608 5.755179
8.118012 3.237064
6.716281 5.984312
6.888587 5.949845
6.293082 6.644673
-1.528309 -2.565246
0.174824 -3.388742
-4.425174 -0.290875
7.091806 5.720848
-3.255173 0.775744
6.691327 5.44383
-3.710912 -0.444286
6.573719 5.759524
0.444907 0.469069
6.624715 5.272177
0.033627 -0.963014
7.824052 6.584088
7.688179 2.264228
6.418764 5.594225
6.283108 5.463157
-1.455183 -2.640419
-0.299334 0.371103
5.474256 6.206297
-0.42865 0.814989
0.240453 -2.678474
0.076838 0.689054
-0.524185 0.663517
-0.891314 -2.758004
-0.570719 -3.348722
8.352681 3.389484
7.028153 5.257955
-1.284123 -3.132567
8.225847 3.018014
7.601394 3.119358
-0.753821 -3.55718
-0.164756 0.653
8.188285 3.391468
8.409397 2.70498
-2.398354 0.721452
-0.171708 0.124596
-1.073603 -2.801872
-1.240114 -3.035309
-2.972691 -0.51995
7.375201 6.716297
-0.029576 -0.737698
0.653387 -0.189755
8.123385 2.447052
0.443384 0.304775
8.334376 2.768482
7.910979 1.914394
-1.095733 -3.161678
-4.034538 0.618056
7.522808 1.513862
-2.895031 0.072791
0.709073 -0.37101
6.215105 5.746586
7.920051 3.116195
-1.689567 -3.205839
8.234748 2.77204
0.915009 0.157593
-4.098791 0.409023
-1.127479 -2.884782
0.24848 -3.108508
5.992569 6.302861
7.056473 2.433415
6.973655 5.745989
-2.645477 0.081679
8.001466 2.895766
-2.572278 0.191639
-0.590376 -3.339129
-3.696816 -0.304575
-0.972192 -3.366284
-4.166968 -0.647622
-0.248943 0.07951
-0.913714 -3.327797
-2.762427 0.235235
-3.085743 -0.843041
-4.004153 0.20915
7.29525 5.362095
8.597253 2.400817
-0.730371 -3.651787
-2.084068 -3.487438
0.574692 -0.271035
-3.573426 -0.258176
8.819993 2.732109
-3.554743 0.394369
-0.632681 -0.662002
-0.717543 -3.077351
7.706122 2.260691
6.926885 2.117937
8.685495 2.446105
-3.638758 0.125635
